samples,attributes,classes,time,n_outliers,TP,FP,TN,FN,PPV,NPV,sensitivity,specificity
1250,30,7,0.049578,251,13,238,949,50,5.18,94.99,20.63,79.95
1250,40,7,0.071387,340,22,318,869,41,6.47,95.49,34.92,73.21
1250,50,7,0.082103,355,20,335,852,43,5.63,95.20,31.75,71.78
1250,60,7,0.099521,414,17,397,790,46,4.11,94.50,26.98,66.55
1250,70,7,0.114287,489,26,463,724,37,5.32,95.14,41.27,60.99
1250,80,7,0.141515,516,26,490,697,37,5.04,94.96,41.27,58.72
1250,90,7,0.158017,566,32,534,653,31,5.65,95.47,50.79,55.01
1250,100,7,0.161070,601,34,567,620,29,5.66,95.53,53.97,52.23
3000,10,2,0.021792,154,7,147,2703,143,4.55,94.98,4.67,94.84
3000,20,2,0.042945,386,19,367,2483,131,4.92,94.99,12.67,87.12
3000,30,2,0.052702,528,24,504,2346,126,4.55,94.90,16.00,82.32
3000,40,2,0.069792,707,43,664,2186,107,6.08,95.33,28.67,76.70
3000,50,2,0.094010,862,48,814,2036,102,5.57,95.23,32.00,71.44
3000,60,2,0.103695,967,46,921,1929,104,4.76,94.88,30.67,67.68
3000,70,2,0.129516,1075,54,1021,1829,96,5.02,95.01,36.00,64.18
3000,80,2,0.138416,1227,55,1172,1678,95,4.48,94.64,36.67,58.88
3000,90,2,0.173157,1347,54,1293,1557,96,4.01,94.19,36.00,54.63
3000,100,2,0.211874,1446,79,1367,1483,71,5.46,95.43,52.67,52.04
3000,10,3,0.019514,182,14,168,2682,136,7.69,95.17,9.33,94.11
3000,20,3,0.036053,476,22,454,2396,128,4.62,94.93,14.67,84.07
3000,30,3,0.057885,535,19,516,2334,131,3.55,94.69,12.67,81.89
3000,40,3,0.070890,729,39,690,2160,111,5.35,95.11,26.00,75.79
3000,50,3,0.086999,888,37,851,1999,113,4.17,94.65,24.67,70.14
3000,60,3,0.104152,1025,50,975,1875,100,4.88,94.94,33.33,65.79
3000,70,3,0.134900,1059,59,1000,1850,91,5.57,95.31,39.33,64.91
3000,80,3,0.166406,1274,64,1210,1640,86,5.02,95.02,42.67,57.54
3000,90,3,0.153552,1260,53,1207,1643,97,4.21,94.43,35.33,57.65
3000,100,3,0.173884,1465,79,1386,1464,71,5.39,95.37,52.67,51.37
3000,10,4,0.021676,214,18,196,2654,132,8.41,95.26,12.00,93.12
3000,20,4,0.041759,400,25,375,2475,125,6.25,95.19,16.67,86.84
3000,30,4,0.052242,592,37,555,2295,113,6.25,95.31,24.67,80.53
3000,40,4,0.069813,743,41,702,2148,109,5.52,95.17,27.33,75.37
3000,50,4,0.095711,885,40,845,2005,110,4.52,94.80,26.67,70.35
3000,60,4,0.104416,1038,45,993,1857,105,4.34,94.65,30.00,65.16
3000,70,4,0.119569,1117,46,1071,1779,104,4.12,94.48,30.67,62.42
3000,80,4,0.136516,1208,55,1153,1697,95,4.55,94.70,36.67,59.54
3000,90,4,0.196555,1369,74,1295,1555,76,5.41,95.34,49.33,54.56
3000,100,4,0.170690,1434,72,1362,1488,78,5.02,95.02,48.00,52.21
3000,10,5,0.019396,221,9,212,2638,141,4.07,94.93,6.00,92.56
3000,20,5,0.036128,431,22,409,2441,128,5.10,95.02,14.67,85.65
3000,30,5,0.058140,566,29,537,2313,121,5.12,95.03,19.33,81.16
3000,40,5,0.069211,740,34,706,2144,116,4.59,94.87,22.67,75.23
3000,50,5,0.086554,922,46,876,1974,104,4.99,95.00,30.67,69.26
3000,60,5,0.117774,1005,65,940,1910,85,6.47,95.74,43.33,67.02
3000,70,5,0.136067,1183,53,1130,1720,97,4.48,94.66,35.33,60.35
3000,80,5,0.135938,1191,52,1139,1711,98,4.37,94.58,34.67,60.04
3000,90,5,0.159291,1336,53,1283,1567,97,3.97,94.17,35.33,54.98
3000,100,5,0.219603,1423,76,1347,1503,74,5.34,95.31,50.67,52.74
3000,10,6,0.020157,263,8,255,2595,142,3.04,94.81,5.33,91.05
3000,20,6,0.036044,435,17,418,2432,133,3.91,94.81,11.33,85.33
3000,30,6,0.055131,605,27,578,2272,123,4.46,94.86,18.00,79.72
3000,40,6,0.077099,735,39,696,2154,111,5.31,95.10,26.00,75.58
3000,50,6,0.085199,871,43,828,2022,107,4.94,94.97,28.67,70.95
3000,60,6,0.103460,956,50,906,1944,100,5.23,95.11,33.33,68.21
3000,70,6,0.119825,1159,62,1097,1753,88,5.35,95.22,41.33,61.51
3000,80,6,0.174276,1282,73,1209,1641,77,5.69,95.52,48.67,57.58
3000,90,6,0.161123,1348,68,1280,1570,82,5.04,95.04,45.33,55.09
3000,100,6,0.172892,1480,91,1389,1461,59,6.15,96.12,60.67,51.26
3000,10,7,0.021578,274,18,256,2594,132,6.57,95.16,12.00,91.02
3000,20,7,0.039732,426,27,399,2451,123,6.34,95.22,18.00,86.00
3000,30,7,0.053908,573,17,556,2294,133,2.97,94.52,11.33,80.49
3000,40,7,0.071000,728,37,691,2159,113,5.08,95.03,24.67,75.75
3000,50,7,0.086168,886,36,850,2000,114,4.06,94.61,24.00,70.18
3000,60,7,0.113471,997,47,950,1900,103,4.71,94.86,31.33,66.67
3000,70,7,0.124155,1115,57,1058,1792,93,5.11,95.07,38.00,62.88
3000,80,7,0.135427,1271,66,1205,1645,84,5.19,95.14,44.00,57.72
3000,90,7,0.168571,1413,73,1340,1510,77,5.17,95.15,48.67,52.98
3000,100,7,0.172476,1483,75,1408,1442,75,5.06,95.06,50.00,50.60
3000,10,8,0.021406,238,11,227,2623,139,4.62,94.97,7.33,92.04
